,Title,Date,Project Center,Location,Subject Terms,Link,Alternative Link,Advisors,Initials,Notes,Link to summary,Goal,Stakeholders,Impact,Headline,Follow-up,Category,Sub_Category
83,Competence Vs Legacy: The Employer's Decision,03-10-10,On-campus,"Worcester, MA","Education, Higher|teaching | Women--employment",https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832568804746&docid=alma9936832568804746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-031010-012306/unrestricted/JS8-2091.pdf,"Skorinko, Jeanine L.",CS,Not specifically focused on women- also presents biases due to race and perception of similarity; no recommendations presented,https://docs.google.com/document/d/1POiUv93do67w8wuo3URVySfOXDiq0wZjnQ8Tbidul5o/edit?usp=sharing,"To understand the extent to which perceived similarity due to a shared alma mater, candidate quality, and gender can impact the hiring process","Potential employers, people looking for jobs","Overall, when the candidate was good, male candidates were rated more favorably than females; when the candidate was very good, females were rated more favorably. Biases occurred due to race, gender, and perception of similarity",Gender and hiring decisions,,Business,Employment
84,Does Having A Foreign Accent Affect Men And Women Differently? Effect Of Foreign Accent And Gender On Employment Decisions And Negotiations,4/30/2012,On-campus,"Worcester, MA",Women--employment| Multiculturalism| Equality,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832665704746&docid=alma9936832665704746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-043012-143024/unrestricted/Accent_Study_Final_Report.pdf,"Skorinko, Jeanine L.",CS,,https://docs.google.com/document/d/1scj9lr0M8yetcBJBC1__jZ3pzRieqjXUrIKQbo2kM2c/edit?usp=sharing,To examine the effect of international accents and gender on hiring and negotiation perceptions,"People looking for jobs, people with accents",Female candidates with a foreign accent are less likely to be hired than female candidates with an American accent,Accent and gender correlation to employment,,Business,Employment
71,Empowering The Women’s Cooperative Of Ban Pang Ung Mhai Through The Competitive Marketing Of Crafts,03-01-13,"Bangkok, Thailand","Bangkok, Thailand",Women--economic Aspects | Women Entrepreneurs,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832964404746&docid=alma9936832964404746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-030113-031637/unrestricted/ISSP5_Embroidery.pdf,"Selkow, Stanley M.| Tuler, Seth",CS,Product portfolio included in the appendices- lots of photos of products,https://docs.google.com/document/d/1-6psnO1BuWEgMu2EMuYFQtRpVzfdPpnUiHBFS-YV0Pg/edit?usp=sharing,To empower the women’s cooperative in Ban Pang Ung Mhai by promoting skills for improving a marketing strategy in order to establish a more profitable craft business,"Raks Thai Foundation, women of the Cooperative and their families","If the women's marketing knowledge were increased, their business would be more successful (recommendations were made to help with this). Conservation and promotion of culture are important to maintain consumer attraction",Marketing women's crafts in Thailand,,Business,Marketing
72,Exploring Value Adding Initiatives In Rural Northern Greece,05-04-18,"Thessaloniki, Greece","Thessaloniki, Greece",Rural Development|tourism,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833047904746&docid=alma9936833047904746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-050418-103333/unrestricted/Rural_Final_Draft.pdf,"Bulled, Nicola| Hersh, Robert",CS,"A visually pleasing report, but  the women's cooperative is just a subset of the report",https://docs.google.com/document/d/1I-92afeepsaho0ec6dMU73x3_tH7CRK2HBpSfEd6leM/edit?usp=sharing,"To explore efforts to bring value to a rural region of northern Greece, (Nea Kallikratia and surrounding villages, in Halkidiki and Central Macedonia) with a particular focus on innovative tourism development initiatives","Tourists, Greeks living in rural communities, Greeks in general due to the effect on the economy",Diversification principles and innovative marketing led to the most success,Expanding tourism in Northern Greece,,Business,Marketing
73,Marketing Hand-milled Rice In Thailand: Creating A Self-sustainable Future For The Village Of Mae Khong Khaa,03-11-14,"Bangkok, Thailand","Bangkok, Thailand",Entrepreneurship|marketing|marketing Research,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833011304746&docid=alma9936833011304746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-031114-201454/unrestricted/Final_Project_IQPSSP5.pdf,"Peet, R. Creighton| Pollice, Gary F.",AN,,https://docs.google.com/document/d/1Vp3miIlqcU8qH795-X__vUIVXk27tCVazUeuW9lcnAo/edit?usp=sharing,"The goal of this project was to provide the Raks Thai Foundation with a marketing plan for the Mae Khong Khaa rice, and to begin to educate the Mae Khong Khaa villagers on the importance of marketing so that they can gain a reliable and better income from the sale of their rice",Villagers of Mae Khong Khaa,"Developed a marketing plan, which included a current product profile, information on how to introduce the product to a specific market, and effective marketing mediums including a marketing brochure and logo",Marketing rice in a community in Thailand,,Business,Marketing
74,"Small Business, Big Impact: A Female-led Microbusiness In Ecuador",3/18/2017,"Cuenca, Ecuador","Cuenca, Ecuador",Women Entrepreneurs,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832969804746&docid=alma9936832969804746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-031817-141943/unrestricted/HOG_Cuenca_Final_Draft.pdf,"DiBiasio, David| Elgert, Laureen",AN,https://miramecuenca.wordpress.com/,https://docs.google.com/document/d/1JYH2ZgTSEaw_Gw14RzquWjPML8PogNa2yDoTa-syw9Y/edit?usp=sharing,"To aid the Hearts of Gold Foundation in laying the groundwork for the establishment of a female led business in Cuenca, Ecuador","Women in the Azuay province, Hearts of Gold Foundation","Found that jewelry was the optimal choice for a product, 
social enterprise marketing is the best way to market the jewelry to the U.S. and Canada, new business should be established as a compañía limitada (limited liability company), and the startup cost for the new business would be around $144,400- the best way to source initial capital would be to start a crowdfunding campaign
",Supporting marginalized women to start local businesses,,Business,Marketing
75,Uncorking Identity: Exploring Consumer-brand Identification Within The South African Wine Industry,12/14/2017,"Cape Town, South Africa","Cape Town, South Africa",Marketing | Women Entrepreneurs,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833149204746&docid=alma9936833149204746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-121417-094228/unrestricted/WIW_Final_IQP_Report_B17.pdf,"Bulled, Nicola| Skorinko, Jeanine L.",AN,Report has lots of visuals,https://docs.google.com/document/d/16KliaMj4GcR-g7bHnovvxe5VVX4VTXw9VQIhgkVfBWg/edit?usp=sharing,"To explore the issues of identity with regards to wine consumption in an effort to inform new producers, like our sponsor Women and Wine, how they might consider future brand imagery","Underrepresented groups in wine making industry, Women in Wine","Found that four key drivers predict consumer-brand identification within the wine industry: brand prestige, brand social benefits, brand distinctiveness, and brand warmth",Exploring consumer-brand identification for the wine industry in South Africa,,Business,Marketing
76,Exploring Market Opportunities For Women In Wine In The South African And Global Wine Industries,12-10-16,"Cape Town, South Africa","Cape Town, South Africa",Women Entrepreneurs|entrepreneurship,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833163504746&docid=alma9936833163504746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-121016-150033/unrestricted/Mission_in_a_Bottle.pdf,"Agloro, Alexandrina R.| Bulled, Nicola",CS,Visually pleasing report,https://docs.google.com/document/d/1G9AwaZERfXRKFvgbVBV7A7hguL4ZT1mrR_MXMMsEAFE/edit?usp=sharing,"To help Women in Wine identify strategies for domestic and international expansion by assessing its’ products placement in the market, as influenced by the company’s progressive social and environmental sustainability mission",Women in Wine,"Found that taste and quality are the most important aspects of a wine according to consumers, retailers, and industry professionals",Expanding Women in Wine in South Africa,,Business,Marketing
77,I Am Dress For Success Worcester: A Video Campaign,Apr-19,Worcester Community Project Center,"Worcester, MA",Women--employment,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936880962104746&docid=alma9936880962104746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6392&context=iqp-all,"Krueger, Robert | Roberts, Laura",CS,Visually pleasing report,https://docs.google.com/document/d/1mhjpl0K7B_yYiP8Wt-eQI_wc0nr6FHalavkJi5R6_JE/edit?usp=sharing,To create marketing materials to help Dress for Success Worcester promote their range of services,"Women seeking jobs in Worcester, Dress for Success Worcester","6 videos developed- The Suiting Program, The Financial Literacy Program, The Workplace Readiness Program (I Am Successful Program), The Career Center Program, and The Professional Women’s Group",Promotion of Dress for Success Worcester,,Business,Marketing
85,Plastic Waste Pollution And Mosquito Control In Bangkok Slums -- An Educational Approach,Jan-99,"Bangkok, Thailand","Bangkok, Thailand","Recycling (waste, Etc.) | Plastics | Women In Development",https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832936404746&docid=alma9936832936404746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4964&context=iqp-all,"Lemone, Karen | Vaz, Richard F.",CS,"Not much of an analysis on teaching the women's craft group how to weave with plastic bags, just the children's educational program",https://docs.google.com/document/d/1IGv5L3CBiytOW5E_rqzAEPi-z4RuMmqaAFmqGth85Bo/edit?usp=sharing,to help prevent plastic pollution by teaching women’s craft groups how to use plastics in weaving and spread awareness about plastic pollution to preschoolers,"Human Development Center (HDC), preschoolers and women’s craft groups in Bangkok",Createde a puppet show for preschoolers and a plastic weaving demonstration for craft groups,"Weaving with plastic bags in women's craft groups, Bangkok",,Business,No Sub-Category
